Park Name,Category,Scientific Name,Common Names,Observations,T&E
Bryce Canyon National Park,Bird,Vermivora celata,Orange-Crowned Warbler,,
Bryce Canyon National Park,Bird,Vermivora peregrina,Tennessee Warbler,,
Bryce Canyon National Park,Bird,Vermivora ruficapilla,Nashville Warbler,,SC
Bryce Canyon National Park,Bird,Vermivora virginiae,Virginia'S Warbler,,SC
Bryce Canyon National Park,Bird,Wilsonia pusilla,Wilson'S Warbler,,SC
Bryce Canyon National Park,Bird,Passer domesticus,House Sparrow,,
Bryce Canyon National Park,Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,,SC
Bryce Canyon National Park,Bird,Regulus calendula,Ruby-Crowned Kinglet,,
Bryce Canyon National Park,Bird,Regulus satrapa,Golden-Crowned Kinglet,,
Bryce Canyon National Park,Bird,Sitta canadensis,Red-Breasted Nuthatch,,
Bryce Canyon National Park,Bird,Sitta carolinensis,White-Breasted Nuthatch,,
Bryce Canyon National Park,Bird,Sitta pygmaea,Pygmy Nuthatch,,
Bryce Canyon National Park,Bird,Sturnus vulgaris,European Starling,,
Bryce Canyon National Park,Bird,Catherpes mexicanus,Canyon Wren,,
Bryce Canyon National Park,Bird,Salpinctes obsoletus,Rock Wren,,
Bryce Canyon National Park,Bird,Thryomanes bewickii,Bewick'S Wren,,
Bryce Canyon National Park,Bird,Troglodytes aedon,House Wren,,
Bryce Canyon National Park,Bird,Troglodytes troglodytes,Winter Wren,,
Bryce Canyon National Park,Bird,Catharus fuscescens,Veery,1,SC
Bryce Canyon National Park,Bird,Catharus guttatus,Hermit Thrush,,
Bryce Canyon National Park,Bird,Catharus ustulatus,Swainson'S Thrush,,
Bryce Canyon National Park,Bird,Myadestes townsendi,Townsend'S Solitaire,,
Bryce Canyon National Park,Bird,Sialia currucoides,Mountain Bluebird,,SC
Bryce Canyon National Park,Bird,Sialia mexicana,Western Bluebird,,SC
Bryce Canyon National Park,Bird,Turdus migratorius,American Robin,,
Bryce Canyon National Park,Bird,Contopus cooperi,Olive-Sided Flycatcher,,SC
Bryce Canyon National Park,Bird,Contopus sordidulus,Western Wood-Pewee,,
Bryce Canyon National Park,Bird,Empidonax hammondii,Hammond'S Flycatcher,,
Bryce Canyon National Park,Bird,Empidonax oberholseri,Dusky Flycatcher,,
Bryce Canyon National Park,Bird,Empidonax occidentalis,Cordilleran Flycatcher,,
Bryce Canyon National Park,Bird,Empidonax traillii,Willow Flycatcher,,SC
Bryce Canyon National Park,Bird,Empidonax traillii extimus,Southwestern Willow Flycatcher,,E
Bryce Canyon National Park,Bird,Empidonax wrightii,Gray Flycatcher,,
Bryce Canyon National Park,Bird,Myiarchus cinerascens,Ash-Throated Flycatcher,,
Bryce Canyon National Park,Bird,Sayornis saya,Say'S Phoebe,,
Bryce Canyon National Park,Bird,Tyrannus verticalis,Western Kingbird,,
Bryce Canyon National Park,Bird,Tyrannus vociferans,Cassin'S Kingbird,,
Bryce Canyon National Park,Bird,Vireo gilvus,Warbling Vireo,,
Bryce Canyon National Park,Bird,Vireo plumbeus,Plumbeous Vireo,,
Bryce Canyon National Park,Bird,Vireo vicinior,Gray Vireo,,SC
Bryce Canyon National Park,Bird,Ardea herodias,Great Blue Heron,,SC
